Time_s,Height_m,Velocity_ms,Theta_rad,Omega_drum_rads,Omega_motor_rads,Current_A,Voltage_V,P_mech_W,P_elec_W,Efficiency_pct,E_elec_cum_J,E_loss_mech_cum_J,E_loss_elec_cum_J
0,12,0,0,0,0,0,0,0,0,62,0,0,0
0.00785953,11.9945,0.0265007,0.00173569,0.441679,1.98755,0.530014,0.0795021,3.89958,2.42747,62.2495,0.00953939,0.0027584,0.000763151
0.0157191,11.9861,0.0530263,0.00694441,0.883772,3.97698,1.06053,0.159079,7.80283,4.87639,62.4952,0.0382419,0.0110362,0.00305935
0.0235786,11.9759,0.079577,0.0156294,1.32628,5.96827,1.59154,0.238731,11.7098,7.34635,62.737,0.0862744,0.0248386,0.00690195
0.0314381,11.9645,0.106153,0.027794,1.76921,7.96146,2.12306,0.318458,15.6204,9.83694,62.975,0.153801,0.0441707,0.0123041
0.0392977,11.9521,0.132754,0.0434414,2.21256,9.95653,2.65508,0.398261,19.5347,12.3478,63.2094,0.240981,0.069038,0.0192785
0.0471572,11.9387,0.15938,0.0625751,2.65634,11.9535,3.1876,0.47814,23.4528,14.8785,63.4401,0.347974,0.0994455,0.0278379
0.0550167,11.9245,0.186032,0.0851982,3.10053,13.9524,3.72064,0.558096,27.3746,17.4286,63.6671,0.474933,0.135399,0.0379947
0.0628763,11.9096,0.212709,0.111314,3.54516,15.9532,4.25419,0.638128,31.3002,19.9979,63.8907,0.622011,0.176903,0.0497609
0.0707358,11.894,0.239412,0.140926,3.99021,17.9559,4.78825,0.718237,35.2295,22.5859,64.1107,0.789355,0.223963,0.0631484
0.0785953,11.8778,0.266141,0.174038,4.43569,19.9606,5.32282,0.798424,39.1627,25.1923,64.3273,0.977112,0.276585,0.078169
0.0864548,11.861,0.292896,0.210653,4.8816,21.9672,5.85792,0.878688,43.0996,27.8168,64.5406,1.18543,0.334774,0.0948341
0.0943144,11.8437,0.319677,0.250774,5.32795,23.9758,6.39354,0.95903,47.0404,30.4589,64.7505,1.41444,0.398535,0.113155
0.102174,11.8259,0.346484,0.294405,5.77473,25.9863,6.92967,1.03945,50.9851,33.1185,64.9571,1.66428,0.467874,0.133142
0.110033,11.8076,0.373317,0.341549,6.22195,27.9988,7.46634,1.11995,54.9336,35.795,65.1606,1.93509,0.542797,0.154807
0.117893,11.7888,0.400176,0.39221,6.66961,30.0132,8.00353,1.20053,58.886,38.4883,65.3608,2.22701,0.623308,0.178161
0.125753,11.7695,0.427063,0.446391,7.11771,32.0297,8.54125,1.28119,62.8423,41.1981,65.5579,2.54016,0.709413,0.203213
0.133612,11.7499,0.453975,0.504095,7.56625,34.0481,9.0795,1.36193,66.8025,43.9239,65.752,2.87467,0.801118,0.229973
0.141472,11.7298,0.480915,0.565327,8.01524,36.0686,9.61829,1.44274,70.7666,46.6656,65.943,3.23066,0.898429,0.258453
0.149331,11.7094,0.507881,0.630089,8.46468,38.0911,10.1576,1.52364,74.7347,49.4228,66.131,3.60827,1.00135,0.288662
0.157191,11.6885,0.534874,0.698386,8.91457,40.1156,10.6975,1.60462,78.7067,52.1953,66.3162,4.0076,1.10989,0.320608
0.16505,11.6673,0.561894,0.77022,9.36491,42.1421,11.2379,1.68568,82.6828,54.9827,66.4984,4.42879,1.22405,0.354303
0.17291,11.6458,0.588942,0.845595,9.8157,44.1707,11.7788,1.76683,86.6628,57.7848,66.6778,4.87194,1.34384,0.389755
0.180769,11.6239,0.616017,0.924515,10.2669,46.2013,12.3203,1.84805,90.6469,60.6014,66.8543,5.33717,1.46926,0.426974
0.188629,11.6016,0.643119,1.00698,10.7187,48.234,12.8624,1.92936,94.635,63.4321,67.0282,5.82459,1.60032,0.465967
0.196488,11.579,0.670249,1.093,11.1708,50.2687,13.405,2.01075,98.6272,66.2768,67.1993,6.33432,1.73702,0.506745
0.204348,11.5561,0.697407,1.18258,11.6235,52.3055,13.9481,2.09222,102.623,69.1351,67.3677,6.86645,1.87938,0.549316
0.212207,11.5329,0.724593,1.27572,12.0765,54.3445,14.4919,2.17378,106.624,72.0069,67.5336,7.42111,2.02739,0.593689
0.220067,11.5094,0.751806,1.37241,12.5301,56.3855,15.0361,2.25542,110.628,74.8918,67.6968,7.99839,2.18107,0.639871
0.227926,11.4856,0.779048,1.47268,12.9841,58.4286,15.581,2.33714,114.637,77.7897,67.8575,8.59839,2.34041,0.687871
0.235786,11.4616,0.806318,1.57651,13.4386,60.4739,16.1264,2.41895,118.65,80.7004,68.0157,9.22122,2.50543,0.737697
0.243645,11.4372,0.833617,1.68392,13.8936,62.5212,16.6723,2.50085,122.667,83.6236,68.1714,9.86697,2.67613,0.789358
0.251505,11.4125,0.860944,1.79491,14.3491,64.5708,17.2189,2.58283,126.688,86.5591,68.3247,10.5358,2.85251,0.84286
0.259365,11.3876,0.888299,1.90948,14.805,66.6224,17.766,2.6649,130.713,89.5066,68.4756,11.2276,3.03458,0.898212
0.267224,11.3624,0.915684,2.02763,15.2614,68.6763,18.3137,2.74705,134.743,92.4661,68.6241,11.9428,3.22236,0.955421
0.275084,11.337,0.943097,2.14938,15.7183,70.7323,18.8619,2.82929,138.777,95.4372,68.7703,12.6812,3.41583,1.01449
0.282943,11.3113,0.97054,2.27471,16.1757,72.7905,19.4108,2.91162,142.815,98.4199,68.9143,13.443,3.61502,1.07544
0.290803,11.2853,0.998011,2.40364,16.6335,74.8508,19.9602,2.99403,146.857,101.414,69.056,14.2283,3.81992,1.13826
0.298662,11.2591,1.02551,2.53618,17.0919,76.9134,20.5102,3.07654,150.904,104.419,69.1955,15.0372,4.03054,1.20297
0.306522,11.2327,1.05304,2.67231,17.5507,78.9782,21.0609,3.15913,154.955,107.435,69.3328,15.8697,4.2469,1.26958
0.314381,11.206,1.0806,2.81206,18.0101,81.0452,21.6121,3.24181,159.011,110.462,69.468,16.726,4.46898,1.33808
0.322241,11.1791,1.10819,2.95542,18.4699,83.1145,22.1639,3.32458,163.071,113.499,69.601,17.6061,4.69681,1.40849
0.3301,11.152,1.13581,3.10239,18.9302,85.186,22.7163,3.40744,167.135,116.547,69.732,18.5101,4.93038,1.48081
0.33796,11.1246,1.16346,3.25299,19.3911,87.2598,23.2693,3.49039,171.204,119.605,69.861,19.4381,5.16971,1.55505
0.345819,11.097,1.19114,3.4072,19.8524,89.3358,23.8229,3.57343,175.277,122.673,69.9879,20.3902,5.41479,1.63122
0.353679,11.0692,1.21885,3.56505,20.3142,91.4141,24.3771,3.65656,179.354,125.751,70.1129,21.3665,5.66565,1.70932
0.361538,11.0412,1.2466,3.72653,20.7766,93.4947,24.9319,3.73979,183.437,128.838,70.2359,22.3669,5.92227,1.78936
0.369398,11.0129,1.27437,3.89164,21.2395,95.5776,25.4874,3.8231,187.523,131.936,70.357,23.3917,6.18467,1.87134
0.377258,10.9845,1.30217,4.06039,21.7029,97.6628,26.0434,3.90651,191.615,135.043,70.4762,24.4409,6.45286,1.95527
0.385117,10.9558,1.33001,4.23279,22.1668,99.7504,26.6001,3.99002,195.71,138.159,70.5935,25.5145,6.72683,2.04116
0.392977,10.9269,1.35787,4.40883,22.6312,101.84,27.1574,4.07361,199.811,141.284,70.709,26.6127,7.00661,2.12901
0.400836,10.8978,1.38577,4.58853,23.0961,103.933,27.7153,4.1573,203.916,144.419,70.8227,27.7354,7.29219,2.21883
0.408696,10.8686,1.4137,4.77189,23.5616,106.027,28.2739,4.24109,208.025,147.562,70.9347,28.8828,7.58358,2.31063
0.416555,10.8391,1.44165,4.9589,24.0276,108.124,28.8331,4.32496,212.14,150.714,71.0449,30.055,7.88078,2.4044
0.424415,10.8094,1.46965,5.14958,24.4941,110.223,29.3929,4.40894,216.258,153.875,71.1534,31.2519,8.18381,2.50015
0.432274,10.7796,1.49767,5.34393,24.9612,112.325,29.9534,4.49301,220.382,157.045,71.2601,32.4738,8.49268,2.5979
0.440134,10.7495,1.52573,5.54195,25.4288,114.429,30.5145,4.57718,224.511,160.223,71.3652,33.7206,8.80737,2.69765
0.447993,10.7193,1.55381,5.74365,25.8969,116.536,31.0763,4.66144,228.644,163.409,71.4687,34.9924,9.12792,2.79939
0.455853,10.6888,1.58193,5.94902,26.3656,118.645,31.6387,4.7458,232.782,166.603,71.5706,36.2892,9.45431,2.90314
0.463712,10.6582,1.61009,6.15809,26.8348,120.757,32.2018,4.83026,236.924,169.806,71.6709,37.6112,9.78656,3.0089
0.471572,10.6274,1.63827,6.37085,27.3046,122.871,32.7655,4.91482,241.072,173.016,71.7696,38.9584,10.1247,3.11668
0.479431,10.5965,1.66649,6.58729,27.7749,124.987,33.3299,4.99948,245.225,176.235,71.8667,40.3309,10.4687,3.22647
0.487291,10.5653,1.69475,6.80744,28.2458,127.106,33.8949,5.08424,249.382,179.461,71.9624,41.7287,10.8185,3.3383
0.495151,10.534,1.72303,7.03129,28.7172,129.227,34.4606,5.1691,253.544,182.695,72.0566,43.1519,11.1743,3.45215
0.50301,10.5025,1.75135,7.25885,29.1892,131.351,35.027,5.25405,257.711,185.937,72.1493,44.6006,11.5359,3.56804
0.51087,10.4708,1.7797,7.49012,29.6617,133.478,35.5941,5.33911,261.883,189.186,72.2405,46.0747,11.9035,3.68598
0.518729,10.439,1.80809,7.72511,30.1349,135.607,36.1618,5.42427,266.061,192.443,72.3303,47.5744,12.2769,3.80595
0.526589,10.407,1.83651,7.96382,30.6085,137.738,36.7303,5.50954,270.243,195.707,72.4188,49.0997,12.6563,3.92798
0.534448,10.3748,1.86497,8.20625,31.0828,139.873,37.2994,5.59491,274.43,198.978,72.5058,50.6508,13.0415,4.05206
0.542308,10.3424,1.89346,8.45241,31.5576,142.009,37.8692,5.68038,278.622,202.256,72.5915,52.2275,13.4327,4.1782
0.550167,10.3099,1.92198,8.70231,32.0331,144.149,38.4397,5.76595,282.82,205.542,72.6758,53.8301,13.8299,4.30641
0.558027,10.2772,1.95054,8.95594,32.5091,146.291,39.0109,5.85163,287.022,208.834,72.7589,55.4585,14.233,4.43668
0.565886,10.2444,1.97914,9.21332,32.9856,148.435,39.5828,5.93741,291.23,212.134,72.8406,57.1128,14.642,4.56902
0.573746,10.2114,2.00777,9.47445,33.4628,150.583,40.1554,6.0233,295.443,215.44,72.9211,58.793,15.057,4.70344
0.581605,10.1783,2.03643,9.73933,33.9406,152.733,40.7287,6.1093,299.661,218.754,73.0003,60.4993,15.4779,4.83995
0.589465,10.1449,2.06513,10.008,34.4189,154.885,41.3027,6.1954,303.885,222.074,73.0783,62.2317,15.9049,4.97853
0.597324,10.1115,2.09387,10.2804,34.8979,157.04,41.8774,6.28162,308.113,225.4,73.155,63.9901,16.3378,5.11921
0.605184,10.0778,2.12265,10.5565,35.3774,159.198,42.4529,6.36794,312.347,228.734,73.2306,65.7748,16.7766,5.26198
0.613043,10.0441,2.15145,10.8365,35.8576,161.359,43.0291,6.45436,316.587,232.074,73.305,67.5856,17.2215,5.40685
0.620903,10.0101,2.1803,11.1202,36.3384,163.523,43.606,6.5409,320.831,235.42,73.3782,69.4228,17.6724,5.55382
0.628763,9.97606,2.20918,11.4077,36.8197,165.689,44.1837,6.62755,325.081,238.773,73.4503,71.2863,18.1293,5.7029
0.636622,9.94184,2.2381,11.699,37.3017,167.858,44.7621,6.71431,329.337,242.133,73.5212,73.1761,18.5922,5.85409
0.644482,9.90746,2.26706,11.994,37.7843,170.03,45.3412,6.80118,333.598,245.498,73.5911,75.0924,19.0611,6.00739
0.652341,9.87294,2.29606,12.2929,38.2676,172.204,45.9211,6.88817,337.865,248.871,73.6599,77.0351,19.5361,6.16281
0.660201,9.83827,2.32509,12.5956,38.7515,174.382,46.5017,6.97526,342.137,252.249,73.7276,79.0044,20.0171,6.32035
0.66806,9.80345,2.35416,12.902,39.2359,176.562,47.0831,7.06247,346.414,255.634,73.7942,81.0003,20.5042,6.48002
0.67592,9.76849,2.38326,13.2123,39.7211,178.745,47.6653,7.14979,350.697,259.024,73.8598,83.0228,20.9973,6.64182
0.683779,9.73339,2.41241,13.5264,40.2069,180.931,48.2482,7.23723,354.986,262.421,73.9244,85.0719,21.4964,6.80575
0.691639,9.69815,2.4416,13.8443,40.6933,183.12,48.8319,7.32479,359.281,265.824,73.9879,87.1478,22.0017,6.97182
